Year,Series,Gender,Sector,Ethnicity,Wealth Index Quintile,Geopolitical zone,State,Age group,Mother's education level,School type,GeoCode,Value
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Taraba,,,Primary,NGTA34,1.01
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Yobe,,,Primary,NGYO35,0.99
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Zamfara,,,Primary,NGZA36,0.72
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Federal Capital Territory,,,Primary,NGFC37,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,,Secondary,NG,0.97
2017,Percentage of population age 3 and above who never attended formal education,,,,,North  Central,,,,Secondary,NGNCZ06,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,North East,,,,Secondary,NGNEZ05,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,North West,,,,Secondary,NGNWZ04,1.1
2017,Percentage of population age 3 and above who never attended formal education,,,,,South East,,,,Secondary,NGSEZ03,1.1
2017,Percentage of population age 3 and above who never attended formal education,,,,,South South,,,,Secondary,NGSSZ02,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,South West,,,,Secondary,NGSWZ01,1.0
2017,Percentage of population age 3 and above who never attended formal education,,Urban,,,,,,,Secondary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,Rural,,,,,,,Secondary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,None,Secondary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,Non-formal,Secondary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,Primary,Secondary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,Secondary,Secondary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,,,,Higher/tertiary,Secondary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,Poorest,,,,,Secondary,NG,0.7
2017,Percentage of population age 3 and above who never attended formal education,,,,Second,,,,,Secondary,NG,0.8
2017,Percentage of population age 3 and above who never attended formal education,,,,Middle,,,,,Secondary,NG,0.8
2017,Percentage of population age 3 and above who never attended formal education,,,,Fourth,,,,,Secondary,NG,1.1
2017,Percentage of population age 3 and above who never attended formal education,,,,Richest,,,,,Secondary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,Hausa,,,,,,Secondary,NG,0.9
2017,Percentage of population age 3 and above who never attended formal education,,,Igbo,,,,,,Secondary,NG,1.1
2017,Percentage of population age 3 and above who never attended formal education,,,Yoruba,,,,,,Secondary,NG,1.1
2017,Percentage of population age 3 and above who never attended formal education,,,Other ethnicity,,,,,,Secondary,NG,1.0
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Abia,,,Secondary,NGAB01,1.1
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Adamawa,,,Secondary,NGAD02,0.88
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Akwa Ibom,,,Secondary,NGAK03,1.03
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Anambra,,,Secondary,NGAN04,1.11
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Bauchi,,,Secondary,NGBA05,0.76
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Bayelsa,,,Secondary,NGBY06,1.06
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Benue,,,Secondary,NGBE07,1.03
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Borno,,,Secondary,NGBO08,1.06
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Cross River,,,Secondary,NGXR09,1.13
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Delta,,,Secondary,NGDE10,0.98
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Ebonyi,,,Secondary,NGEB11,1.01
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Edo,,,Secondary,NGED12,1.12
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Ekiti,,,Secondary,NGEK13,1.01
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Enugu,,,Secondary,NGEN14,1.14
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Gombe,,,Secondary,NGGO15,0.98
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Imo,,,Secondary,NGIM16,1.09
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Jigawa,,,Secondary,NGJI17,0.8
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kaduna,,,Secondary,NGKD18,0.86
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kano,,,Secondary,NGKN19,0.87
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Katsina,,,Secondary,NGKT20,0.69
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kebbi,,,Secondary,NGKE21,1.07
2017,Percentage of population age 3 and above who never attended formal education,,,,,,Kogi,,,Secondary,NGKO22,1.01
