Year,Series,Units,Value
2016,Domestic material footprint per capita,Tonne,2.8
2017,Domestic material footprint per capita,Tonne,2.81
2018,Domestic material footprint per capita,Tonne,2.87
2019,Domestic material footprint per capita,Tonne,2.87
2020,Domestic material footprint per capita,Tonne,2.83
2021,Domestic material footprint per capita,Tonne,2.88
2022,Domestic material footprint per capita,Tonne,2.84
2023,Domestic material footprint per capita,Tonne,2.77
