Year,Series,Unit multiplier,Units,Value
2016,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,28.75
2017,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,89.48
2018,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,80.32
2019,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,31.1
2020,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,35.91
2021,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,35.05
2022,Official development assistance on conservation and sustainable use of biodiversity,Millions,USD,39.23
