Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Units,GeoCode,Value
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kano,Percentage (%),NGKN19,3.7
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Katsina,Percentage (%),NGKT20,5.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kebbi,Percentage (%),NGKE21,1.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kogi,Percentage (%),NGKO22,4.4
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Kwara,Percentage (%),NGKW23,1.6
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Lagos,Percentage (%),NGLA24,0.5
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Nasarawa,Percentage (%),NGNA25,2.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Niger,Percentage (%),NGNI26,5.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ogun,Percentage (%),NGOG27,1.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Ondo,Percentage (%),NGON28,5.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Osun,Percentage (%),NGOS29,3.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Oyo,Percentage (%),NGOY30,1.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Plateau,Percentage (%),NGPL31,2.2
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Rivers,Percentage (%),NGRI32,1.8
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Sokoto,Percentage (%),NGSO33,1.3
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Taraba,Percentage (%),NGTA34,3.1
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Yobe,Percentage (%),NGYO35,16.7
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Zamfara,Percentage (%),NGZA36,1.9
2018,"(a) Proportion of total agricultural population with ownership or secure rights over agricultural land, by sex",,,,,,Federal Capital Territory,Percentage (%),NGFC37,1.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,,,,,,Percentage (%),NG,18.9
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Urban,,,,,,Percentage (%),NG,18.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",Rural,,,,,,Percentage (%),NG,19.6
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,15-19,,,,,Percentage (%),NG,10.1
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,20-24,,,,,Percentage (%),NG,14.8
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,25-29,,,,,Percentage (%),NG,13.3
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,30-34,,,,,Percentage (%),NG,16.4
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,35-39,,,,,Percentage (%),NG,21.6
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,40-44,,,,,Percentage (%),NG,26.2
2018,"(b) share of women among owners or rights-bearers of agricultural land, by type of tenure",,45-49,,,,,Percentage (%),NG,19.6
