Year,Series,Units,Value
2016,Total greenhouse gas emissions per year,Mt of CO2 equivalent,675.3
2017,Total greenhouse gas emissions per year,Mt of CO2 equivalent,684.1
2018,Total greenhouse gas emissions per year,Mt of CO2 equivalent,698.5
2019,Total greenhouse gas emissions per year,Mt of CO2 equivalent,715.1
2020,Total greenhouse gas emissions per year,Mt of CO2 equivalent,590.9
2021,Total greenhouse gas emissions per year,Mt of CO2 equivalent,597.8
2022,Total greenhouse gas emissions per year,Mt of CO2 equivalent,605.8
2023,Total greenhouse gas emissions per year,Mt of CO2 equivalent,610.7
