Year,Value,Units,Series
2016,0.01,Percentage (%),Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2017,0.19,Percentage (%),Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2018,0.46,Percentage (%),Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2019,0.36,Percentage (%),Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2020,0.07,Percentage (%),Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2021,0.99,Percentage (%),Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2022,3.49,Percentage (%),Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
2023,1.08,Percentage (%),Fossil-fuel subsidies (consumption and production) as a proportion of total GDP
