Year,Value,Units,Series
2016,11.32,watts per capita,Installed renewable energy-generating capacity
2017,11.06,watts per capita,Installed renewable energy-generating capacity
2018,10.81,watts per capita,Installed renewable energy-generating capacity
2019,10.61,watts per capita,Installed renewable energy-generating capacity
2020,10.44,watts per capita,Installed renewable energy-generating capacity
2021,10.32,watts per capita,Installed renewable energy-generating capacity
2022,10.09,watts per capita,Installed renewable energy-generating capacity
