Year,Value,Units,Series
2016,4226791.3,USD,Total official international support (official development assistance plus other official flows) to infrastructure
2017,6220688.52,USD,Total official international support (official development assistance plus other official flows) to infrastructure
2018,4729995.6,USD,Total official international support (official development assistance plus other official flows) to infrastructure
2019,9262739.49,USD,Total official international support (official development assistance plus other official flows) to infrastructure
2020,13963748.03,USD,Total official international support (official development assistance plus other official flows) to infrastructure
2021,10564438.81,USD,Total official international support (official development assistance plus other official flows) to infrastructure
2022,59740441.21,USD,Total official international support (official development assistance plus other official flows) to infrastructure
2023,7745714.96,USD,Total official international support (official development assistance plus other official flows) to infrastructure
