Year,Value,Units,Series
2016,63,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income
2017,91,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income
2018,80,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income
2019,70,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income
2020,79,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income
2021,82,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income
2022,97,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income
