Year,Value,Units,Series
2016,25.17,Percentage (%),Labour share of GDP
2017,26.06,Percentage (%),Labour share of GDP
2018,26.61,Percentage (%),Labour share of GDP
2019,26.51,Percentage (%),Labour share of GDP
2020,25.89,Percentage (%),Labour share of GDP
2021,26.19,Percentage (%),Labour share of GDP
2022,25.86,Percentage (%),Labour share of GDP
2023,27.23,Percentage (%),Labour share of GDP
