Year,Value,Units,Series
2017,70000000,USD,Amount in United States dollars committed to public-private partnerships for infrastructure
2020,2600000000,USD,Amount in United States dollars committed to public-private partnerships for infrastructure
2021,40000000,USD,Amount in United States dollars committed to public-private partnerships for infrastructure
