Year,Value,Units,Series
2016,218.58,Index,Indicator of food price anomalies
2017,261.01,Index,Indicator of food price anomalies
2018,296.4,Index,Indicator of food price anomalies
2019,339.88,Index,Indicator of food price anomalies
2020,406.36,Index,Indicator of food price anomalies
2021,476.95,Index,Indicator of food price anomalies
2022,590.24,Index,Indicator of food price anomalies
2023,790.53,Index,Indicator of food price anomalies
2024,1105.5,Index,Indicator of food price anomalies
