Year,Value,Units,Series
2016,138284.33,USD,Volume of official development assistance flows for scholarships by sector and type of study
2017,683718.3,USD,Volume of official development assistance flows for scholarships by sector and type of study
2018,48627636.83,USD,Volume of official development assistance flows for scholarships by sector and type of study
2019,231274172.1,USD,Volume of official development assistance flows for scholarships by sector and type of study
2020,102321287.1,USD,Volume of official development assistance flows for scholarships by sector and type of study
2021,17680686.19,USD,Volume of official development assistance flows for scholarships by sector and type of study
2022,2479366.47,USD,Volume of official development assistance flows for scholarships by sector and type of study
2023,1316091.04,USD,Volume of official development assistance flows for scholarships by sector and type of study
