Year,Value,Series
2016,128936746,Number of people requiring interventions against neglected tropical diseases
2017,133972724,Number of people requiring interventions against neglected tropical diseases
2018,131361930,Number of people requiring interventions against neglected tropical diseases
2019,134545208,Number of people requiring interventions against neglected tropical diseases
2020,136378141,Number of people requiring interventions against neglected tropical diseases
2021,139910337,Number of people requiring interventions against neglected tropical diseases
2022,138928998,Number of people requiring interventions against neglected tropical diseases
