Year,Value,Units,Series,Unit multiplier
2016,367.84,USD,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions
2017,315.94,USD,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions
2018,364.63,USD,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions
2019,454.87,USD,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions
2020,353.54,USD,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions
2021,408.39,USD,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions
2022,676.66,USD,"Dollar value of financial and technical assistance (including through North-South, South?South and triangular cooperation) committed to developing countries",Millions
