Year,Value,Units,Series
2016,0.06,Index,The agriculture orientation index for government expenditures
2017,0.05,Index,The agriculture orientation index for government expenditures
2018,0.1,Index,The agriculture orientation index for government expenditures
2019,0.08,Index,The agriculture orientation index for government expenditures
2020,0.07,Index,The agriculture orientation index for government expenditures
2021,0.09,Index,The agriculture orientation index for government expenditures
2022,0.05,Index,The agriculture orientation index for government expenditures
2023,0.09,Index,The agriculture orientation index for government expenditures
