Year,Value,Series
2016,10.06,Remittance costs as a proportion of the amount remitted
2018,12.28,Remittance costs as a proportion of the amount remitted
2019,9.56,Remittance costs as a proportion of the amount remitted
2020,16.09,Remittance costs as a proportion of the amount remitted
