Year,Value,Units,Series
2016,0.47,Percentage (%),Foreign direct investment inflows as a share of GDP
2017,0.44,Percentage (%),Foreign direct investment inflows as a share of GDP
2018,0.53,Percentage (%),Foreign direct investment inflows as a share of GDP
2019,0.4,Percentage (%),Foreign direct investment inflows as a share of GDP
2020,0.56,Percentage (%),Foreign direct investment inflows as a share of GDP
2021,0.42,Percentage (%),Foreign direct investment inflows as a share of GDP
2022,0.28,Percentage (%),Foreign direct investment inflows as a share of GDP
2023,0.37,Percentage (%),Foreign direct investment inflows as a share of GDP
