Year,Value,Units,Series
2016,72.85,tonnes per hectare,Coverage by protected areas of important sites for mountain biodiversity
2017,72.85,tonnes per hectare,Coverage by protected areas of important sites for mountain biodiversity
2018,72.85,tonnes per hectare,Coverage by protected areas of important sites for mountain biodiversity
2019,72.85,tonnes per hectare,Coverage by protected areas of important sites for mountain biodiversity
2020,72.85,tonnes per hectare,Coverage by protected areas of important sites for mountain biodiversity
2021,72.85,Percentage (%),Coverage by protected areas of important sites for mountain biodiversity
2022,72.85,Percentage (%),Coverage by protected areas of important sites for mountain biodiversity
2023,72.85,Percentage (%),Coverage by protected areas of important sites for mountain biodiversity
