Year,Value,Series
2016,8.9,Proportion of value added of ICT to total value added
2017,8.66,Proportion of value added of ICT to total value added
2018,9.46,Proportion of value added of ICT to total value added
2019,10.3,Proportion of value added of ICT to total value added
2020,12.18,Proportion of value added of ICT to total value added
2021,12.63,Proportion of value added of ICT to total value added
2022,13.57,Proportion of value added of ICT to total value added
2023,14.38,Proportion of value added of ICT to total value added
