Year,Value,Units,Series
2016,0.017,Percentage (%),Coverage of protected areas in relation to marine areas
2017,0.0167,Percentage (%),Coverage of protected areas in relation to marine areas
2018,0.0167,Percentage (%),Coverage of protected areas in relation to marine areas
2019,0.0167,Percentage (%),Coverage of protected areas in relation to marine areas
2020,0.0167,Percentage (%),Coverage of protected areas in relation to marine areas
2021,0.0167,Percentage (%),Coverage of protected areas in relation to marine areas
2022,0.0167,Percentage (%),Coverage of protected areas in relation to marine areas
