Year,Value,Units,Series
2016,307195.07,kt of CO2 equivalent,Total greenhouse gas emissions per year
2017,311186.0,kt of CO2 equivalent,Total greenhouse gas emissions per year
2018,320860.8,kt of CO2 equivalent,Total greenhouse gas emissions per year
2019,332247.0,kt of CO2 equivalent,Total greenhouse gas emissions per year
2020,322336.5,kt of CO2 equivalent,Total greenhouse gas emissions per year
